aiming    pairing
airier    parity
airing    pastry
algeria   patrol
aorist    pitying
apriori   prairie
derail    priming
dialog    priority
drying    privet
dyeing    railroad
enmity    rapist
gaoled    relaid
gaoler    reload
georgia   ringed
gigolo    ringer
ginger    riping
griping   roping
groats    sirloin
groping   spirit
ignite    strait
impinge   strength
impinged  stripier
imprint   striping
inertia   stroll
inveigh   stymie
invite    tigris
loader    timing
loping    tinier
lunged    tiring
mining    triads
nigeria   tripoli
nightie   trying
origin    
	      
































